track_index,weight,logit,rbp_ct,rbp,ct
39,1.9094e-06,-4.3757624626,DROSHA_HepG2,DROSHA,HepG2
77,1.7863e-06,-4.4423961639,HNRNPC_HepG2,HNRNPC,HepG2
189,1.7764e-06,-4.4479594231,TRA2A_HepG2,TRA2A,HepG2
110,1.5965e-06,-4.554749012,NCBP2_HepG2,NCBP2,HepG2
84,1.3933e-06,-4.6908693314,HNRNPM_K562,HNRNPM,K562
12,1.3492e-06,-4.7230110168,BCLAF1_HepG2,BCLAF1,HepG2
29,1.3468e-06,-4.7247872353,DDX55_HepG2,DDX55,HepG2
115,1.3431e-06,-4.7275900841,NOL12_HepG2,NOL12,HepG2
199,1.3081e-06,-4.7539849281,UPF1_HepG2,UPF1,HepG2
98,1.2665e-06,-4.7862997055,LARP4_HepG2,LARP4,HepG2
135,1.1191e-06,-4.9100165367,PUM1_K562,PUM1,K562
46,1.0786e-06,-4.9469041824,EIF4G2_K562,EIF4G2,K562
176,1.0654e-06,-4.9592180252,STAU2_HepG2,STAU2,HepG2
74,1.0322e-06,-4.9908633232,HLTF_K562,HLTF,K562
155,9.837e-07,-5.0389304161,SDAD1_K562,SDAD1,K562
149,9.727e-07,-5.0502543449,RPS3_K562,RPS3,K562
100,9.67e-07,-5.0561237335,LARP7_HepG2,LARP7,HepG2
104,9.178e-07,-5.10831213,LSM11_HepG2,LSM11,HepG2
156,9.162e-07,-5.1101121902,SERBP1_K562,SERBP1,K562
194,8.516e-07,-5.1832261086,U2AF1_K562,U2AF1,K562
123,8.48e-07,-5.1874570847,PCBP1_HepG2,PCBP1,HepG2
92,8.442e-07,-5.1919145584,IGF2BP3_HepG2,IGF2BP3,HepG2
202,8.36e-07,-5.201666832,UTP18_K562,UTP18,K562
108,7.775e-07,-5.2742571831,METAP2_K562,METAP2,K562
163,7.577e-07,-5.3000411987,SLTM_HepG2,SLTM,HepG2
83,7.32e-07,-5.3344597816,HNRNPM_HepG2,HNRNPM,HepG2
11,7.263e-07,-5.3422822952,BCCIP_HepG2,BCCIP,HepG2
195,7.055e-07,-5.37140131,U2AF2_HepG2,U2AF2,HepG2
52,6.743e-07,-5.4166259766,FASTKD2_HepG2,FASTKD2,HepG2
147,6.518e-07,-5.4505295753,RPS11_K562,RPS11,K562
43,6.456e-07,-5.4600758553,EIF3D_HepG2,EIF3D,HepG2
25,6.452e-07,-5.4607391357,DDX42_K562,DDX42,K562
151,6.423e-07,-5.4652328491,SAFB_K562,SAFB,K562
209,6.392e-07,-5.4701094627,XRCC6_HepG2,XRCC6,HepG2
187,6.375e-07,-5.4726915359,TIA1_K562,TIA1,K562
40,6.338e-07,-5.4786128998,DROSHA_K562,DROSHA,K562
190,6.27e-07,-5.4893369675,TRA2A_K562,TRA2A,K562
164,6.226e-07,-5.4963140488,SLTM_K562,SLTM,K562
44,6.198e-07,-5.5008254051,EIF3G_K562,EIF3G,K562
93,6.03e-07,-5.5283994675,ILF3_HepG2,ILF3,HepG2
158,5.98e-07,-5.536632061,SF3B1_K562,SF3B1,K562
198,5.978e-07,-5.5370187759,UCHL5_K562,UCHL5,K562
178,5.872e-07,-5.554930687,SUGP2_HepG2,SUGP2,HepG2
106,5.865e-07,-5.5560855865,MATR3_HepG2,MATR3,HepG2
107,5.832e-07,-5.5617837906,MATR3_K562,MATR3,K562
188,5.764e-07,-5.5734143257,TIAL1_HepG2,TIAL1,HepG2
114,5.758e-07,-5.5745596886,NKRF_HepG2,NKRF,HepG2
42,5.625e-07,-5.5978889465,EFTUD2_K562,EFTUD2,K562
97,5.599e-07,-5.602478981,KHSRP_K562,KHSRP,K562
20,5.581e-07,-5.6057958603,CSTF2T_K562,CSTF2T,K562
94,5.49e-07,-5.6222143173,ILF3_K562,ILF3,K562
152,5.486e-07,-5.6229686737,SAFB2_K562,SAFB2,K562
186,5.467e-07,-5.6263422966,TIA1_HepG2,TIA1,HepG2
105,5.433e-07,-5.6326198578,LSM11_K562,LSM11,K562
88,5.411e-07,-5.6367559433,HNRNPUL1_K562,HNRNPUL1,K562
5,5.389e-07,-5.640789032,AKAP1_HepG2,AKAP1,HepG2
49,5.366e-07,-5.6450719833,EXOSC5_K562,EXOSC5,K562
205,5.291e-07,-5.6590719223,WDR43_HepG2,WDR43,HepG2
21,5.257e-07,-5.6654891968,DDX21_K562,DDX21,K562
58,5.247e-07,-5.6674623489,FUBP3_HepG2,FUBP3,HepG2
18,5.241e-07,-5.6686010361,CSTF2_HepG2,CSTF2,HepG2
200,5.194e-07,-5.6776080132,UPF1_K562,UPF1,K562
72,5.172e-07,-5.6818804741,GTF2F1_K562,GTF2F1,K562
146,5.168e-07,-5.6826119423,RBM5_HepG2,RBM5,HepG2
47,5.167e-07,-5.6828112602,EWSR1_K562,EWSR1,K562
211,5.163e-07,-5.6835641861,XRN2_HepG2,XRN2,HepG2
150,5.119e-07,-5.6922559738,SAFB_HepG2,SAFB,HepG2
35,5.098e-07,-5.6962795258,DGCR8_K562,DGCR8,K562
140,5.071e-07,-5.7015070915,RBFOX2_HepG2,RBFOX2,HepG2
82,5.057e-07,-5.7043442726,HNRNPL_K562,HNRNPL,K562
116,5.052e-07,-5.7053203583,NOLC1_HepG2,NOLC1,HepG2
181,5.012e-07,-5.7133116722,TAF15_HepG2,TAF15,HepG2
161,5.006e-07,-5.7145848274,SFPQ_HepG2,SFPQ,HepG2
138,4.967e-07,-5.7222833633,QKI_HepG2,QKI,HepG2
132,4.933e-07,-5.7292146683,PRPF8_K562,PRPF8,K562
8,4.904e-07,-5.7350473404,APOBEC3C_K562,APOBEC3C,K562
118,4.869e-07,-5.7422757149,NONO_K562,NONO,K562
153,4.858e-07,-5.7445230484,SBDS_K562,SBDS,K562
80,4.84e-07,-5.7482924461,HNRNPK_K562,HNRNPK,K562
96,4.823e-07,-5.751806736,KHSRP_HepG2,KHSRP,HepG2
67,4.82e-07,-5.7523179054,GPKOW_K562,GPKOW,K562
95,4.806e-07,-5.755338192,KHDRBS1_K562,KHDRBS1,K562
180,4.8e-07,-5.7564916611,SUPV3L1_K562,SUPV3L1,K562
19,4.757e-07,-5.7655692101,CSTF2T_HepG2,CSTF2T,HepG2
79,4.738e-07,-5.7694854736,HNRNPK_HepG2,HNRNPK,HepG2
10,4.726e-07,-5.7720899582,AQR_K562,AQR,K562
145,4.72e-07,-5.7732815742,RBM22_K562,RBM22,K562
1,4.66e-07,-5.786213398,AATF_K562,AATF,K562
125,4.65e-07,-5.7883086205,PCBP2_HepG2,PCBP2,HepG2
41,4.648e-07,-5.7886252403,EFTUD2_HepG2,EFTUD2,HepG2
160,4.64e-07,-5.7903804779,SF3B4_K562,SF3B4,K562
85,4.587e-07,-5.8018193245,HNRNPU_HepG2,HNRNPU,HepG2
182,4.587e-07,-5.8019881248,TAF15_K562,TAF15,K562
177,4.581e-07,-5.8031477928,SUB1_HepG2,SUB1,HepG2
17,4.577e-07,-5.8041539192,CPSF6_K562,CPSF6,K562
222,4.575e-07,-5.8044652939,ZRANB2_K562,ZRANB2,K562
50,4.565e-07,-5.8068118095,FAM120A_HepG2,FAM120A,HepG2
120,4.532e-07,-5.8138833046,NSUN2_K562,NSUN2,K562
86,4.476e-07,-5.826485157,HNRNPU_K562,HNRNPU,K562
28,4.465e-07,-5.8287491798,DDX52_K562,DDX52,K562
59,4.455e-07,-5.831017971,FUS_HepG2,FUS,HepG2
141,4.441e-07,-5.8342270851,RBFOX2_K562,RBFOX2,K562
144,4.397e-07,-5.8441338539,RBM22_HepG2,RBM22,HepG2
166,4.392e-07,-5.8452510834,SMNDC1_K562,SMNDC1,K562
22,4.384e-07,-5.8470945358,DDX24_K562,DDX24,K562
191,4.372e-07,-5.8500080109,TROVE2_HepG2,TROVE2,HepG2
171,4.31e-07,-5.8642001152,SRSF7_HepG2,SRSF7,HepG2
87,4.269e-07,-5.8737206459,HNRNPUL1_HepG2,HNRNPUL1,HepG2
26,4.25e-07,-5.878215313,DDX51_K562,DDX51,K562
159,4.208e-07,-5.8880696297,SF3B4_HepG2,SF3B4,HepG2
7,4.195e-07,-5.8912539482,AKAP8L_K562,AKAP8L,K562
131,4.178e-07,-5.8953948021,PRPF8_HepG2,PRPF8,HepG2
53,4.149e-07,-5.9023742676,FASTKD2_K562,FASTKD2,K562
37,4.082e-07,-5.9184656143,DHX30_K562,DHX30,K562
162,4.079e-07,-5.919318676,SLBP_K562,SLBP,K562
15,4.063e-07,-5.9231743813,CDC40_HepG2,CDC40,HepG2
4,4.012e-07,-5.9357566833,AGGF1_K562,AGGF1,K562
136,4.007e-07,-5.9371676445,PUM2_K562,PUM2,K562
90,4.005e-07,-5.9374761581,IGF2BP1_K562,IGF2BP1,K562
157,3.989e-07,-5.9415416718,SF3A3_HepG2,SF3A3,HepG2
139,3.97e-07,-5.9464797974,QKI_K562,QKI,K562
75,3.964e-07,-5.947945118,HNRNPA1_HepG2,HNRNPA1,HepG2
76,3.944e-07,-5.9528074265,HNRNPA1_K562,HNRNPA1,K562
185,3.877e-07,-5.9699840546,TBRG4_K562,TBRG4,K562
201,3.876e-07,-5.9702677727,UTP18_HepG2,UTP18,HepG2
36,3.864e-07,-5.973423481,DHX30_HepG2,DHX30,HepG2
183,3.823e-07,-5.9841885567,TARDBP_K562,TARDBP,K562
31,3.818e-07,-5.9854779243,DDX59_HepG2,DDX59,HepG2
210,3.812e-07,-5.9869990349,XRCC6_K562,XRCC6,K562
81,3.805e-07,-5.9886803627,HNRNPL_HepG2,HNRNPL,HepG2
113,3.778e-07,-5.9958572388,NIPBL_K562,NIPBL,K562
54,3.766e-07,-5.9989786148,FKBP4_HepG2,FKBP4,HepG2
57,3.758e-07,-6.0011129379,FTO_K562,FTO,K562
204,3.746e-07,-6.0044488907,WDR3_K562,WDR3,K562
71,3.734e-07,-6.0075173378,GTF2F1_HepG2,GTF2F1,HepG2
212,3.724e-07,-6.0103521347,XRN2_K562,XRN2,K562
179,3.714e-07,-6.0128798485,SUPV3L1_HepG2,SUPV3L1,HepG2
99,3.682e-07,-6.0216665268,LARP4_K562,LARP4,K562
34,3.671e-07,-6.0246052742,DGCR8_HepG2,DGCR8,HepG2
0,3.655e-07,-6.0290665627,AARS_K562,AARS,K562
207,3.643e-07,-6.0322451591,WRN_K562,WRN,K562
217,3.583e-07,-6.0488762856,ZC3H11A_K562,ZC3H11A,K562
13,3.554e-07,-6.0570793152,BUD13_HepG2,BUD13,HepG2
216,3.487e-07,-6.0761022568,ZC3H11A_HepG2,ZC3H11A,HepG2
133,3.462e-07,-6.0831437111,PTBP1_HepG2,PTBP1,HepG2
27,3.374e-07,-6.1091322899,DDX52_HepG2,DDX52,HepG2
9,3.365e-07,-6.1117577553,AQR_HepG2,AQR,HepG2
38,3.346e-07,-6.1173992157,DKC1_HepG2,DKC1,HepG2
51,3.325e-07,-6.1237130165,FAM120A_K562,FAM120A,K562
126,3.324e-07,-6.1238279343,PHF6_K562,PHF6,K562
134,3.317e-07,-6.1260390282,PTBP1_K562,PTBP1,K562
32,3.211e-07,-6.1585874557,DDX6_HepG2,DDX6,HepG2
68,3.171e-07,-6.1711740494,GRSF1_HepG2,GRSF1,HepG2
117,3.138e-07,-6.181438446,NOLC1_K562,NOLC1,K562
208,3.134e-07,-6.1827549934,XPO5_HepG2,XPO5,HepG2
119,3.124e-07,-6.1860256195,NPM1_K562,NPM1,K562
65,3.078e-07,-6.2009315491,GEMIN5_K562,GEMIN5,K562
192,3.076e-07,-6.2013916969,TROVE2_K562,TROVE2,K562
215,3.065e-07,-6.2051949501,YWHAG_K562,YWHAG,K562
165,3.013e-07,-6.222176075,SMNDC1_HepG2,SMNDC1,HepG2
206,2.975e-07,-6.2348561287,WDR43_K562,WDR43,K562
218,2.971e-07,-6.2361688614,ZC3H8_K562,ZC3H8,K562
129,2.968e-07,-6.2372860909,PPIL4_K562,PPIL4,K562
130,2.93e-07,-6.2501282692,PRPF4_HepG2,PRPF4,HepG2
60,2.927e-07,-6.250980854,FUS_K562,FUS,K562
137,2.926e-07,-6.2514038086,PUS1_K562,PUS1,K562
73,2.887e-07,-6.2650198936,HLTF_HepG2,HLTF,HepG2
175,2.806e-07,-6.2935175896,SSB_K562,SSB,K562
14,2.804e-07,-6.2942056656,BUD13_K562,BUD13,K562
33,2.731e-07,-6.3205757141,DDX6_K562,DDX6,K562
124,2.731e-07,-6.32046175,PCBP1_K562,PCBP1,K562
66,2.663e-07,-6.3457884789,GNL3_K562,GNL3,K562
16,2.597e-07,-6.3709344864,CPEB4_K562,CPEB4,K562
203,2.584e-07,-6.3757472038,UTP3_K562,UTP3,K562
184,2.526e-07,-6.3983149529,TBRG4_HepG2,TBRG4,HepG2
3,2.506e-07,-6.4066181183,AGGF1_HepG2,AGGF1,HepG2
111,2.467e-07,-6.4222941399,NCBP2_K562,NCBP2,K562
142,2.457e-07,-6.4259967804,RBM15_HepG2,RBM15,HepG2
109,2.322e-07,-6.4827222824,MTPAP_K562,MTPAP,K562
143,2.065e-07,-6.5998911858,RBM15_K562,RBM15,K562
121,1.98e-07,-6.6419095993,PABPC4_K562,PABPC4,K562
